date,Volume,RAT
2012-02-28,1.0,LTE
2012-02-29,0.0,LTE
2012-03-01,0.0,LTE
2012-03-02,0.0,LTE
2012-03-03,0.0,LTE
2012-03-04,1.0,LTE
2012-03-05,2.0,LTE
2012-03-06,1.0,LTE
2012-03-07,0.0,LTE
2012-03-08,0.0,LTE
2012-03-09,0.0,LTE
2012-03-10,0.0,LTE
2012-03-11,0.0,LTE
2012-03-12,0.0,LTE
2012-03-13,0.0,LTE
2012-03-14,1.0,LTE
2012-03-15,1.0,LTE
2012-03-16,0.0,LTE
2012-03-17,2.0,LTE
2012-03-18,0.0,LTE
2012-03-19,0.0,LTE
2012-03-20,1.0,LTE
2012-03-21,0.0,LTE
2012-03-22,0.0,LTE
2012-03-23,0.0,LTE
2012-03-24,1.0,LTE
2012-03-25,0.0,LTE
2012-03-26,0.0,LTE
2012-03-27,2.0,LTE
2012-03-28,0.0,LTE
2012-03-29,1.0,LTE
2012-03-30,0.0,LTE
2012-03-31,0.0,LTE
2012-04-01,1.0,LTE
2012-04-02,2.0,LTE
2012-04-03,0.0,LTE
2012-04-04,0.0,LTE
2012-04-05,0.0,LTE
2012-04-06,1.0,LTE
2012-04-07,0.0,LTE
2012-04-08,2.0,LTE
2012-04-09,0.0,LTE
2012-04-10,0.0,LTE
2012-04-11,1.0,LTE
2012-04-12,0.0,LTE
2012-04-13,0.0,LTE
2012-04-14,0.0,LTE
2012-04-15,0.0,LTE
2012-04-16,2.0,LTE
2012-04-17,1.0,LTE
2012-04-18,0.0,LTE
2012-04-19,0.0,LTE
2012-04-20,0.0,LTE
2012-04-21,0.0,LTE
2012-04-22,1.0,LTE
2012-04-23,2.0,LTE
2012-04-24,1.0,LTE
2012-04-25,0.0,LTE
2012-04-26,1.0,LTE
2012-04-27,0.0,LTE
2012-04-28,0.0,LTE
2012-04-29,0.0,LTE
2012-04-30,1.0,LTE
2012-05-01,1.0,LTE
2012-05-02,0.0,LTE
2012-05-03,0.0,LTE
2012-05-04,0.0,LTE
2012-05-05,1.0,LTE
2012-05-06,0.0,LTE
2012-05-07,1.0,LTE
2012-05-08,0.0,LTE
2012-05-09,0.0,LTE
2012-05-10,0.0,LTE
2012-05-11,0.0,LTE
2012-05-12,0.0,LTE
2012-05-13,0.0,LTE
2012-05-14,0.0,LTE
2012-05-15,1.0,LTE
2012-05-16,0.0,LTE
2012-05-17,1.0,LTE
2012-05-18,0.0,LTE
2012-05-19,1.0,LTE
2012-05-20,1.0,LTE
2012-05-21,0.0,LTE
2012-05-22,1.0,LTE
2012-05-23,2.0,LTE
2012-05-24,0.0,LTE
2012-05-25,1.0,LTE
